date,article_count,sentiment_sum,sentiment_mean,sentiment_sum_lag1,sentiment_mean_lag1
2018-12-26,66,5,0.07575757575757576,18.0,0.3103448275862069
2018-12-27,55,9,0.16363636363636364,5.0,0.07575757575757576
2018-12-28,35,6,0.17142857142857143,9.0,0.16363636363636364
2018-12-29,26,2,0.07692307692307693,6.0,0.17142857142857143
2019-01-28,37,2,0.05405405405405406,2.0,0.07692307692307693
2019-01-29,93,7,0.07526881720430108,2.0,0.05405405405405406
2019-01-30,82,14,0.17073170731707318,7.0,0.07526881720430108
2019-01-31,16,2,0.125,14.0,0.17073170731707318
2019-02-01,20,0,0.0,2.0,0.125
2019-02-02,2,0,0.0,0.0,0.0
2019-02-03,8,4,0.5,0.0,0.0
2019-02-04,27,12,0.4444444444444444,4.0,0.5
2019-02-05,117,22,0.18803418803418803,12.0,0.4444444444444444
2019-02-06,36,3,0.08333333333333333,22.0,0.18803418803418803
2019-02-07,27,7,0.25925925925925924,3.0,0.08333333333333333
2019-02-08,14,5,0.35714285714285715,7.0,0.25925925925925924
2019-02-09,20,0,0.0,5.0,0.35714285714285715
2019-02-10,48,3,0.0625,0.0,0.0
2019-02-11,40,5,0.125,3.0,0.0625
2019-02-12,34,15,0.4411764705882353,5.0,0.125
2019-02-13,67,43,0.6417910447761194,15.0,0.4411764705882353
2019-02-14,14,2,0.14285714285714285,43.0,0.6417910447761194
2019-02-15,24,0,0.0,2.0,0.14285714285714285
2019-02-16,24,0,0.0,0.0,0.0
2019-02-24,13,11,0.8461538461538461,0.0,0.0
2019-02-25,40,6,0.15,11.0,0.8461538461538461
2019-02-26,58,15,0.25862068965517243,6.0,0.15
2019-02-27,25,3,0.12,15.0,0.25862068965517243
2019-02-28,51,19,0.37254901960784315,3.0,0.12
2019-03-01,51,11,0.21568627450980393,19.0,0.37254901960784315
2019-03-02,11,2,0.18181818181818182,11.0,0.21568627450980393
2019-03-03,1,0,0.0,2.0,0.18181818181818182
2019-03-10,20,0,0.0,0.0,0.0
2019-03-11,27,5,0.18518518518518517,0.0,0.0
2019-03-12,51,2,0.0392156862745098,5.0,0.18518518518518517
2019-03-13,58,12,0.20689655172413793,2.0,0.0392156862745098
2019-03-14,67,4,0.05970149253731343,12.0,0.20689655172413793
2019-03-15,24,5,0.20833333333333334,4.0,0.05970149253731343
2019-03-16,3,0,0.0,5.0,0.20833333333333334
2019-03-24,31,1,0.03225806451612903,0.0,0.0
2019-03-25,24,4,0.16666666666666666,1.0,0.03225806451612903
2019-03-26,43,16,0.37209302325581395,4.0,0.16666666666666666
2019-03-27,20,3,0.15,16.0,0.37209302325581395
2019-03-28,32,-1,-0.03125,3.0,0.15
2019-03-29,81,18,0.2222222222222222,-1.0,-0.03125
2019-03-30,19,3,0.15789473684210525,18.0,0.2222222222222222
2019-03-31,2,0,0.0,3.0,0.15789473684210525
2019-04-01,21,-1,-0.047619047619047616,0.0,0.0
2019-04-02,40,0,0.0,-1.0,-0.047619047619047616
2019-04-03,70,1,0.014285714285714285,0.0,0.0
2019-04-04,16,0,0.0,1.0,0.014285714285714285
2019-04-05,49,0,0.0,0.0,0.0
2019-04-06,52,3,0.057692307692307696,0.0,0.0
2019-04-22,105,3,0.02857142857142857,3.0,0.057692307692307696
2019-04-23,79,5,0.06329113924050633,3.0,0.02857142857142857
2019-04-24,20,1,0.05,5.0,0.06329113924050633
2019-04-25,26,4,0.15384615384615385,1.0,0.05
2019-04-26,14,3,0.21428571428571427,4.0,0.15384615384615385
2019-04-27,3,2,0.6666666666666666,3.0,0.21428571428571427
2019-04-28,19,0,0.0,2.0,0.6666666666666666
